OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
1,7/11/2024 12:00:00 AM,00103.,A,AL,0J0,ABBEVILLE MUNI,ABBEVILLE,US,PU,PU,17/35,31.60416388,-85.23894444,31.59626666,-85.23767222,2900,80,ASPH,FAIR,AFSC,,,,,,MED,NACO,2/20/2002 12:00:00 AM,,,,,2.04833031602902E-06,0.0165106815636389
2,7/11/2024 12:00:00 AM,00106.,A,AL,2A8,ADDISON MUNI,ADDISON,US,PU,PU,05/23,34.21475,-87.16145,34.21953333,-87.15486666,2644,112,TURF,GOOD,NONE,,,,,,,OWNER,8/8/2011 12:00:00 AM,,,,,2.69163774646586E-06,0.0169479497724232
3,7/11/2024 12:00:00 AM,00110.,A,AL,EET,SHELBY COUNTY,ALABASTER,US,PU,PU,16/34,33.18411386,-86.78637688,33.17144422,-86.78004994,5000,75,ASPH,FAIR,NONE,,,,,,MED,STATE,6/13/2006 12:00:00 AM,16,,,,3.3681371860439E-06,0.0288024661926619
4,7/11/2024 12:00:00 AM,00112.1,A,AL,8A0,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,ALBERTVILLE,US,PU,PU,05/23,34.22352413,-86.26330863,34.2346935,-86.24820202,6114,100,ASPH,EXCELLENT,GRVD,,,,,,MED,3RD PARTY SURVEY,10/27/2007 12:00:00 AM,60,90,130,,5.55728888684826E-06,0.0381763800602827
5,7/11/2024 12:00:00 AM,00116.,A,AL,ALX,THOMAS C RUSSELL FLD,ALEXANDER CITY,US,PU,PU,18/36,32.92218647,-85.9633335,32.90730061,-85.9625708,5422,96,ASPH,FAIR,GRVD,,,,,,MED,3RD PARTY SURVEY,1/19/2010 12:00:00 AM,30,,,,4.66074106952874E-06,0.0304362155526083
6,7/11/2024 12:00:00 AM,00119.,A,AL,AIV,GEORGE DOWNER,ALICEVILLE,US,PU,PU,06/24,33.10348055,-88.20436111,33.11000833,-88.18998888,5001,80,ASPH,GOOD,NONE,,,,,,MED,NACO,10/15/2004 12:00:00 AM,,,,,3.59068758370995E-06,0.032030112756877
7,7/11/2024 12:00:00 AM,00124.,A,AL,79J,SOUTH ALABAMA RGNL AT BILL BENTON FLD,ANDALUSIA,US,PU,PU,11/29,31.31071491,-86.40143094,31.30598988,-86.38302591,6000,100,ASPH,GOOD,NONE,,,,,,MED,NGS,4/14/2010 12:00:00 AM,98,160,275,,5.28097848473408E-06,0.0385615363147568
8,7/11/2024 12:00:00 AM,00128.,A,AL,ANB,ANNISTON RGNL,ANNISTON,US,PU,PU,05/23,33.58179016,-85.86671608,33.59454638,-85.84951163,7000,150,ASPH,EXCELLENT,GRVD,10,F,C,X,T,HIGH,NGS,8/6/2006 12:00:00 AM,28,43.5,260,,9.47452599575627E-06,0.0437338231200839
9,7/11/2024 12:00:00 AM,00133.5,A,AL,1M3,ARDMORE,ARDMORE,US,PR,PU,01/19,34.97543736,-86.88417186,34.98271222,-86.88239777,2700,100,TURF,FAIR,NONE,,,,,,,,,,,,,2.47680941356521E-06,0.015639536075414
10,7/11/2024 12:00:00 AM,00135.,A,AL,26A,ASHLAND/LINEVILLE,ASHLAND/LINEVILLE,US,PU,PU,09/27,33.28419722,-85.81554722,33.28419722,-85.80238333,4023,80,ASPH,GOOD,NONE,,,,,,MED,ADO,8/23/2012 12:00:00 AM,20,,,,2.89415356746758E-06,0.0267674915448325
11,7/11/2024 12:00:00 AM,00139.01,A,AL,56AL,BEECHWOOD AIRPARK,ATHENS,US,PR,PR,18/36,34.77638888,-87.17472222,34.76916666,-87.17444444,2630,60,TURF-DIRT,,NONE,,,,,,,OWNER,9/5/2023 12:00:00 AM,,,,,1.44359682963113E-06,0.014854622089133
12,7/11/2024 12:00:00 AM,00140.1,A,AL,0R1,ATMORE MUNI,ATMORE,US,PU,PU,18/36,31.02302386,-87.4467778,31.00927461,-87.44673266,5001,80,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,9/27/2016 12:00:00 AM,16,,,,3.51105586560152E-06,0.028009372912659
13,7/11/2024 12:00:00 AM,00146.,A,AL,AUO,AUBURN UNIVERSITY RGNL,AUBURN,US,PU,PU,11/29,32.61958108,-85.4373513,32.61630966,-85.42495,4000,75,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,5/22/2006 12:00:00 AM,25,42,,,2.67767040895706E-06,0.0260705189337686
14,7/11/2024 12:00:00 AM,00146.,A,AL,AUO,AUBURN UNIVERSITY RGNL,AUBURN,US,PU,PU,18/36,32.6202013,-85.43603569,32.60573677,-85.43634563,5264,100,ASPH,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,5/22/2006 12:00:00 AM,45,75,,,4.69801921099133E-06,0.0295851536978941
